country,cotas,resultado_cota,allocated_completes,CR_preenchido,Pessoas_Para_Recrutar
AR,"('age_group', 'SEL', 'Gender', 'Region')","('18to19', 'D2E', 'Male', 'Provincia de Buenos Aires')",1,0.7058823529411764705882352941,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', '-', 'Female', 'Noreste')",1,0.7777777777777777777777777778,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Female', 'Centro')",5,0.7539267015706806282722513089,7
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Female', 'Ciudad de Buenos Aires')",4,0.7087087087087087087087087087,6
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Female', 'Cuyo')",1,0.7721518987341772151898734177,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Female', 'GBA')",1,0.7184466019417475728155339806,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Female', 'Noreste')",2,0.7407407407407407407407407407,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Female', 'Noroeste')",1,0.7547169811320754716981132075,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Female', 'Patagonia')",1,0.7352941176470588235294117647,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Female', 'Provincia de Buenos Aires')",2,0.7161290322580645161290322581,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Male', 'Centro')",4,0.7641509433962264150943396226,6
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Male', 'Ciudad de Buenos Aires')",3,0.7457627118644067796610169492,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Male', 'Cuyo')",1,0.6363636363636363636363636364,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Male', 'GBA')",1,0.76,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Male', 'Noreste')",2,0.6626506024096385542168674699,4
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Male', 'Noroeste')",2,0.7099236641221374045801526718,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Male', 'Patagonia')",1,0.4864864864864864864864864865,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'ABC1', 'Male', 'Provincia de Buenos Aires')",1,0.8446601941747572815533980583,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Female', 'Centro')",5,0.728,7
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Female', 'Ciudad de Buenos Aires')",5,0.7479892761394101876675603217,7
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Female', 'Cuyo')",2,0.7154471544715447154471544715,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Female', 'GBA')",1,0.6989247311827956989247311828,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Female', 'Noreste')",3,0.7397959183673469387755102041,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Female', 'Noroeste')",2,0.784,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Female', 'Patagonia')",1,0.6888888888888888888888888889,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Female', 'Provincia de Buenos Aires')",2,0.7517730496453900709219858156,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Male', 'Centro')",4,0.7019867549668874172185430464,6
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Male', 'Ciudad de Buenos Aires')",4,0.7360248447204968944099378882,6
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Male', 'Cuyo')",2,0.6180555555555555555555555556,4
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Male', 'GBA')",1,0.6352941176470588235294117647,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Male', 'Noreste')",3,0.7629629629629629629629629630,4
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Male', 'Noroeste')",2,0.6086956521739130434782608696,4
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Male', 'Patagonia')",1,0.7179487179487179487179487179,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C2', 'Male', 'Provincia de Buenos Aires')",2,0.6990291262135922330097087379,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Female', 'Centro')",9,0.6970227670753064798598949212,13
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Female', 'Ciudad de Buenos Aires')",9,0.6938775510204081632653061224,13
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Female', 'Cuyo')",3,0.6968325791855203619909502262,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Female', 'GBA')",4,0.7777777777777777777777777778,6
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Female', 'Noreste')",5,0.7807606263982102908277404922,7
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Female', 'Noroeste')",5,0.7468030690537084398976982097,7
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Female', 'Patagonia')",2,0.6707317073170731707317073171,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Female', 'Provincia de Buenos Aires')",4,0.6581196581196581196581196581,7
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Male', 'Centro')",5,0.6555183946488294314381270903,8
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Male', 'Ciudad de Buenos Aires')",7,0.6349206349206349206349206349,12
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Male', 'Cuyo')",3,0.59375,6
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Male', 'GBA')",3,0.7517006802721088435374149660,4
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Male', 'Noreste')",4,0.752,6
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Male', 'Noroeste')",3,0.7574468085106382978723404255,4
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Male', 'Patagonia')",2,0.6896551724137931034482758621,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'C3', 'Male', 'Provincia de Buenos Aires')",3,0.6737588652482269503546099291,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Female', 'Centro')",10,0.7259552042160737812911725955,14
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Female', 'Ciudad de Buenos Aires')",11,0.6887218045112781954887218045,16
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Female', 'Cuyo')",4,0.6318181818181818181818181818,7
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Female', 'GBA')",3,0.6981981981981981981981981982,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Female', 'Noreste')",9,0.6640316205533596837944664032,14
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Female', 'Noroeste')",5,0.7325905292479108635097493036,7
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Female', 'Patagonia')",2,0.6747967479674796747967479675,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Female', 'Provincia de Buenos Aires')",5,0.7491166077738515901060070671,7
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Male', 'Centro')",6,0.5945945945945945945945945946,11
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Male', 'Ciudad de Buenos Aires')",7,0.5411764705882352941176470588,13
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Male', 'Cuyo')",2,0.7086092715231788079470198675,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Male', 'GBA')",2,0.7218934911242603550295857988,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Male', 'Noreste')",6,0.6413043478260869565217391304,10
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Male', 'Noroeste')",3,0.6108108108108108108108108108,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Male', 'Patagonia')",1,0.6779661016949152542372881356,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D1', 'Male', 'Provincia de Buenos Aires')",3,0.6242774566473988439306358382,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Female', 'Centro')",12,0.6771300448430493273542600897,18
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Female', 'Ciudad de Buenos Aires')",11,0.6551181102362204724409448819,17
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Female', 'Cuyo')",5,0.6447368421052631578947368421,8
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Female', 'GBA')",3,0.7453703703703703703703703704,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Female', 'Noreste')",12,0.6993670886075949367088607595,18
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Female', 'Noroeste')",6,0.6032786885245901639344262295,10
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Female', 'Patagonia')",2,0.7264957264957264957264957265,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Female', 'Provincia de Buenos Aires')",4,0.7028301886792452830188679245,6
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Male', 'Centro')",8,0.6370192307692307692307692308,13
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Male', 'Ciudad de Buenos Aires')",7,0.5510835913312693498452012384,13
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Male', 'Cuyo')",3,0.6176470588235294117647058824,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Male', 'GBA')",1,0.6615384615384615384615384615,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Male', 'Noreste')",6,0.6071428571428571428571428571,10
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Male', 'Noroeste')",4,0.6347031963470319634703196347,7
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Male', 'Patagonia')",2,0.640625,4
AR,"('age_group', 'SEL', 'Gender', 'Region')","('20to24', 'D2E', 'Male', 'Provincia de Buenos Aires')",3,0.5932203389830508474576271186,6
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Female', 'Centro')",1,0.8625,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Female', 'Ciudad de Buenos Aires')",2,0.7438016528925619834710743802,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Female', 'GBA')",1,0.7552742616033755274261603376,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Female', 'Noreste')",1,0.7407407407407407407407407407,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Female', 'Noroeste')",1,0.6857142857142857142857142857,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Female', 'Provincia de Buenos Aires')",1,0.7204301075268817204301075269,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Male', 'Centro')",1,0.7881773399014778325123152709,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Male', 'Ciudad de Buenos Aires')",1,0.7194244604316546762589928058,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Male', 'Cuyo')",1,0.7677419354838709677419354839,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Male', 'GBA')",1,0.8294314381270903010033444816,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'ABC1', 'Male', 'Noroeste')",1,0.7837837837837837837837837838,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Female', 'Centro')",1,0.7404580152671755725190839695,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Female', 'Ciudad de Buenos Aires')",2,0.75,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Female', 'Cuyo')",1,0.7401574803149606299212598425,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Female', 'GBA')",1,0.8112244897959183673469387755,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Female', 'Noreste')",1,0.6491228070175438596491228070,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Female', 'Noroeste')",1,0.7037037037037037037037037037,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Female', 'Provincia de Buenos Aires')",1,0.7407407407407407407407407407,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Male', 'Centro')",1,0.7035175879396984924623115578,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Male', 'Ciudad de Buenos Aires')",2,0.7486910994764397905759162304,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Male', 'Noreste')",1,0.7852348993288590604026845638,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C2', 'Male', 'Noroeste')",1,0.8110599078341013824884792627,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Female', 'Centro')",2,0.7777777777777777777777777778,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Female', 'Ciudad de Buenos Aires')",3,0.7352941176470588235294117647,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Female', 'Cuyo')",1,0.7739463601532567049808429119,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Female', 'GBA')",2,0.7889447236180904522613065327,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Female', 'Noreste')",2,0.7252747252747252747252747253,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Female', 'Noroeste')",1,0.6321243523316062176165803109,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Female', 'Patagonia')",1,0.7534246575342465753424657534,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Female', 'Provincia de Buenos Aires')",2,0.7802547770700636942675159236,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Male', 'Centro')",2,0.6744186046511627906976744186,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Male', 'Ciudad de Buenos Aires')",2,0.7171945701357466063348416290,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Male', 'Cuyo')",1,0.7752808988764044943820224719,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Male', 'GBA')",1,0.7902735562310030395136778116,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Male', 'Noreste')",2,0.7171314741035856573705179283,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Male', 'Noroeste')",1,0.7414634146341463414634146341,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Male', 'Patagonia')",1,0.7619047619047619047619047619,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'C3', 'Male', 'Provincia de Buenos Aires')",1,0.7358490566037735849056603774,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'D1', 'Female', 'Centro')",3,0.7351851851851851851851851852,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'D1', 'Female', 'Ciudad de Buenos Aires')",3,0.7157057654075546719681908549,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'D1', 'Female', 'Cuyo')",1,0.7884615384615384615384615385,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'D1', 'Female', 'GBA')",2,0.7296296296296296296296296296,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'D1', 'Female', 'Noreste')",3,0.6785714285714285714285714286,5
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'D1', 'Female', 'Noroeste')",2,0.6793103448275862068965517241,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'D1', 'Female', 'Patagonia')",1,0.6666666666666666666666666667,2
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'D1', 'Female', 'Provincia de Buenos Aires')",2,0.6981981981981981981981981982,3
AR,"('age_group', 'SEL', 'Gender', 'Region')","('25to29', 'D1', 'Male', 'Centro')",2,0.6726457399103139013452914798,3
